,index,work,author,birthYear,workLabel,authorLabel,genderLabel,citizenshipLabel,PublicationYear,religionLabel,nativeLanguageLabel
38,0,http://www.wikidata.org/entity/Q1152137,http://www.wikidata.org/entity/Q7245,1835,Extract from Captain Stormfield's Visit to Heaven,Mark Twain,male,United States of America,1909,atheism,
39,0,http://www.wikidata.org/entity/Q1066765,http://www.wikidata.org/entity/Q692,1564,Venus and Adonis,William Shakespeare,male,Kingdom of England,1593,,Early Modern English
40,0,http://www.wikidata.org/entity/Q4821965,http://www.wikidata.org/entity/Q207544,1856,Aunt Jane's Nieces in Society,L. Frank Baum,male,United States of America,1910,,English
41,0,http://www.wikidata.org/entity/Q7296258,http://www.wikidata.org/entity/Q348623,1861,Rautatie,Juhani Aho,male,Finland,1884,,Finnish
42,0,http://www.wikidata.org/entity/Q1134140,http://www.wikidata.org/entity/Q151403,1795,Sartor Resartus,Thomas Carlyle,male,Kingdom of Great Britain,1833,,
44,0,http://www.wikidata.org/entity/Q6917312,http://www.wikidata.org/entity/Q438241,1856,Mother Carey's Chickens,Kate Douglas Wiggin,female,United States of America,1910,,
46,0,http://www.wikidata.org/entity/Q23307980,http://www.wikidata.org/entity/Q167856,1789,The Sea Lions,James Fenimore Cooper,male,United States of America,1849,,English
47,0,http://www.wikidata.org/entity/Q7754884,http://www.wikidata.org/entity/Q234530,1865,The Old Man in the Corner,Emma Orczy,female,United Kingdom,1908,,
49,0,http://www.wikidata.org/entity/Q1317839,http://www.wikidata.org/entity/Q45765,1876,Martin Eden,Jack London,male,United States of America,1909,atheism,
50,0,http://www.wikidata.org/entity/Q48748249,http://www.wikidata.org/entity/Q35610,1859,Uncle Bernac,Arthur Conan Doyle,male,United Kingdom,1904,spiritism,English
54,0,http://www.wikidata.org/entity/Q18635229,http://www.wikidata.org/entity/Q82925,1857,The Mirror of the Sea,Joseph Conrad,male,United Kingdom,1906,atheism,
58,0,http://www.wikidata.org/entity/Q5051290,http://www.wikidata.org/entity/Q42511,1866,The World Set Free,H. G. Wells,male,United Kingdom,1914,,English
59,0,http://www.wikidata.org/entity/Q333179,http://www.wikidata.org/entity/Q36322,1775,Persuasion,Jane Austen,female,Kingdom of Great Britain,1817,Anglicanism,English
61,0,http://www.wikidata.org/entity/Q1130590,http://www.wikidata.org/entity/Q16867,1809,The Cask of Amontillado,Edgar Allan Poe,male,United States of America,1846,,American English
62,0,http://www.wikidata.org/entity/Q766086,http://www.wikidata.org/entity/Q16867,1809,The Masque of the Red Death,Edgar Allan Poe,male,United States of America,1842,,American English
63,0,http://www.wikidata.org/entity/Q42185117,http://www.wikidata.org/entity/Q314158,1867,Hilda Lessways,Arnold Bennett,male,United Kingdom,1911,,
65,0,http://www.wikidata.org/entity/Q22726,http://www.wikidata.org/entity/Q16867,1809,The Raven,Edgar Allan Poe,male,United States of America,1845,,American English
66,0,http://www.wikidata.org/entity/Q3824593,http://www.wikidata.org/entity/Q919277,1877,The Night Land,William Hope Hodgson,male,United Kingdom of Great Britain and Ireland,1912,,
67,0,http://www.wikidata.org/entity/Q3974139,http://www.wikidata.org/entity/Q502912,1861,A History of Freedom of Thought,J. B. Bury,male,United Kingdom,1913,,
69,0,http://www.wikidata.org/entity/Q6312905,http://www.wikidata.org/entity/Q148234,1875,Jungle Tales of Tarzan,Edgar Rice Burroughs,male,United States of America,1919,,English
70,0,http://www.wikidata.org/entity/Q1500229,http://www.wikidata.org/entity/Q25351,1817,The History of Rome,Theodor Mommsen,male,Duchy of Schleswig,1854,,
72,0,http://www.wikidata.org/entity/Q663632,http://www.wikidata.org/entity/Q504,1840,Doctor Pascal,Émile Zola,male,France,1893,atheism,French
73,0,http://www.wikidata.org/entity/Q3232379,http://www.wikidata.org/entity/Q45765,1876,Children of the Frost,Jack London,male,United States of America,1902,atheism,
74,0,http://www.wikidata.org/entity/Q1795631,http://www.wikidata.org/entity/Q1676368,1858,Moonfleet,J. Meade Falkner,male,United Kingdom,1898,,
76,0,http://www.wikidata.org/entity/Q63971,http://www.wikidata.org/entity/Q9327,1850,Boule de Suif,Guy de Maupassant,male,France,1880,,French
77,0,http://www.wikidata.org/entity/Q1196857,http://www.wikidata.org/entity/Q45765,1876,The Sea-Wolf,Jack London,male,United States of America,1904,atheism,
78,0,http://www.wikidata.org/entity/Q19100202,http://www.wikidata.org/entity/Q45765,1876,The Strength of the Strong,Jack London,male,United States of America,1914,atheism,
79,0,http://www.wikidata.org/entity/Q6007633,http://www.wikidata.org/entity/Q131333,1819,Impressions of Theophrastus Such,George Eliot,female,United Kingdom of Great Britain and Ireland,1879,atheism,English
81,0,http://www.wikidata.org/entity/Q3223495,http://www.wikidata.org/entity/Q9327,1850,Le Horla,Guy de Maupassant,male,France,1886,,French
82,0,http://www.wikidata.org/entity/Q5642996,http://www.wikidata.org/entity/Q132805,1840,Far from the Madding Crowd,Thomas Hardy,male,United Kingdom,1874,,
83,0,http://www.wikidata.org/entity/Q469755,http://www.wikidata.org/entity/Q259132,1577,The Anatomy of Melancholy,Robert Burton,male,United Kingdom,1621,Anglicanism,
84,0,http://www.wikidata.org/entity/Q7767777,http://www.wikidata.org/entity/Q458658,1878,The Sword of Welleran and Other Stories,"Edward Plunkett, 18th Baron of Dunsany",male,Republic of Ireland,1908,,
89,0,http://www.wikidata.org/entity/Q264143,http://www.wikidata.org/entity/Q41166,1667,A Modest Proposal,Jonathan Swift,male,Republic of Ireland,1729,Anglicanism,English
91,0,http://www.wikidata.org/entity/Q647379,http://www.wikidata.org/entity/Q43718,1809,Dead Souls,Nikolai Gogol,male,Russian Empire,1842,Eastern Orthodoxy,Ukrainian
92,0,http://www.wikidata.org/entity/Q860023,http://www.wikidata.org/entity/Q82925,1857,The Arrow of Gold,Joseph Conrad,male,United Kingdom,1919,atheism,
96,0,http://www.wikidata.org/entity/Q7182950,http://www.wikidata.org/entity/Q313932,1584,Philaster,Francis Beaumont,male,United Kingdom of Great Britain and Ireland,1620,,
97,0,http://www.wikidata.org/entity/Q18679228,http://www.wikidata.org/entity/Q348623,1861,Juha,Juhani Aho,male,Finland,1911,,Finnish
98,0,http://www.wikidata.org/entity/Q4657396,http://www.wikidata.org/entity/Q7245,1835,A Horse's Tale,Mark Twain,male,United States of America,1907,atheism,
99,0,http://www.wikidata.org/entity/Q20507862,http://www.wikidata.org/entity/Q771698,1867,Crescent and Iron Cross,Edward Frederic Benson,male,United Kingdom,1918,,
100,0,http://www.wikidata.org/entity/Q16385419,http://www.wikidata.org/entity/Q237196,1856,Dawn,H. Rider Haggard,male,United Kingdom of Great Britain and Ireland,1884,,
101,0,http://www.wikidata.org/entity/Q19102119,http://www.wikidata.org/entity/Q507991,1869,The Wendigo,Algernon Blackwood,male,United Kingdom,1910,,
103,0,http://www.wikidata.org/entity/Q6907418,http://www.wikidata.org/entity/Q45765,1876,Moon-Face,Jack London,male,United States of America,1902,atheism,
104,0,http://www.wikidata.org/entity/Q725752,http://www.wikidata.org/entity/Q35610,1859,The Return of Sherlock Holmes,Arthur Conan Doyle,male,United Kingdom,1905,spiritism,English
108,0,http://www.wikidata.org/entity/Q108704082,http://www.wikidata.org/entity/Q314158,1867,Buried Alive,Arnold Bennett,male,United Kingdom,1908,,
109,0,http://www.wikidata.org/entity/Q56157651,http://www.wikidata.org/entity/Q462363,1830,Saxe Holm's Stories,Helen Hunt Jackson,female,United States of America,1878,,
110,0,http://www.wikidata.org/entity/Q726254,http://www.wikidata.org/entity/Q44519,1858,The Wonderful Adventures of Nils,Selma Lagerlöf,female,Sweden,1906,Lutheranism,Swedish
112,0,http://www.wikidata.org/entity/Q5367959,http://www.wikidata.org/entity/Q763341,1875,Elusive Isabel,Jacques Futrelle,male,United States of America,1909,,
113,0,http://www.wikidata.org/entity/Q124090310,http://www.wikidata.org/entity/Q1444002,1834,The Stories of the Three Burglars,Frank R. Stockton,male,United States of America,1890,,
114,0,http://www.wikidata.org/entity/Q16200573,http://www.wikidata.org/entity/Q919277,1877,The Ghost Pirates,William Hope Hodgson,male,United Kingdom of Great Britain and Ireland,1909,,
115,0,http://www.wikidata.org/entity/Q64928814,http://www.wikidata.org/entity/Q45765,1876,The Faith of Men,Jack London,male,United States of America,1903,atheism,
116,0,http://www.wikidata.org/entity/Q124088613,http://www.wikidata.org/entity/Q1444002,1834,The Late Mrs. Null,Frank R. Stockton,male,United States of America,1886,,
117,0,http://www.wikidata.org/entity/Q3486765,http://www.wikidata.org/entity/Q468156,1878,The Grizzly King,James Oliver Curwood,male,United States of America,1916,,
118,0,http://www.wikidata.org/entity/Q2266122,http://www.wikidata.org/entity/Q40826,1859,Growth of the Soil,Knut Hamsun,male,Norway,1917,,
119,0,http://www.wikidata.org/entity/Q30901576,http://www.wikidata.org/entity/Q893138,1869,The Turmoil,Booth Tarkington,male,United States of America,1930,,
120,0,http://www.wikidata.org/entity/Q7714967,http://www.wikidata.org/entity/Q478450,1871,The Autobiography of an Ex-Colored Man,James Weldon Johnson,male,United States of America,1912,,
121,0,http://www.wikidata.org/entity/Q919067,http://www.wikidata.org/entity/Q154211,1820,Max Havelaar,Multatuli,male,Kingdom of the Netherlands,1860,,Dutch
122,0,http://www.wikidata.org/entity/Q6014663,http://www.wikidata.org/entity/Q944063,1813,Incidents in the Life of a Slave Girl,Harriet Jacobs,female,United States of America,1861,,
123,0,http://www.wikidata.org/entity/Q2875147,http://www.wikidata.org/entity/Q311854,1850,Aziyadé,Pierre Loti,male,France,1879,,French
124,0,http://www.wikidata.org/entity/Q1277632,http://www.wikidata.org/entity/Q47484,1869,Isabelle,André Gide,male,France,1911,,French
125,0,http://www.wikidata.org/entity/Q1373644,http://www.wikidata.org/entity/Q9711,1799,Eugénie Grandet,Honoré de Balzac,male,France,1833,Catholicism,French
126,0,http://www.wikidata.org/entity/Q3207959,http://www.wikidata.org/entity/Q45765,1876,The Cruise of the Dazzler,Jack London,male,United States of America,1902,atheism,
127,0,http://www.wikidata.org/entity/Q3821962,http://www.wikidata.org/entity/Q45765,1876,The Cruise of the Dazzler,Jack London,male,United States of America,1902,atheism,
128,0,http://www.wikidata.org/entity/Q7728505,http://www.wikidata.org/entity/Q276032,1862,The Custom of the Country,Edith Wharton,female,United States of America,1913,,
129,0,http://www.wikidata.org/entity/Q3232266,http://www.wikidata.org/entity/Q42443,1844,The Aspirations of Jean Servien,Anatole France,male,France,1882,,French
130,0,http://www.wikidata.org/entity/Q649409,http://www.wikidata.org/entity/Q132805,1840,Tess of the d'Urbervilles,Thomas Hardy,male,United Kingdom,1891,,
131,0,http://www.wikidata.org/entity/Q124088223,http://www.wikidata.org/entity/Q1444002,1834,The Girl at Cobhurst,Frank R. Stockton,male,United States of America,1898,,
132,0,http://www.wikidata.org/entity/Q7721500,http://www.wikidata.org/entity/Q460366,1876,The Case of Jennie Brice,Mary Roberts Rinehart,female,United States of America,1913,,
133,0,http://www.wikidata.org/entity/Q3819262,http://www.wikidata.org/entity/Q2065950,1862,The Red Thumb Mark,R. Austin Freeman,male,United Kingdom,1907,,
134,0,http://www.wikidata.org/entity/Q1163683,http://www.wikidata.org/entity/Q9327,1850,Pierre et Jean,Guy de Maupassant,male,France,1887,,French
135,0,http://www.wikidata.org/entity/Q56284679,http://www.wikidata.org/entity/Q5075251,1870,Deccan Nursery Tales,Charles Augustus Kincaid,male,United Kingdom,1914,,
137,0,http://www.wikidata.org/entity/Q2222,http://www.wikidata.org/entity/Q102513,1811,Uncle Tom's Cabin,Harriet Beecher Stowe,female,United States of America,1852,Protestantism,English
138,0,http://www.wikidata.org/entity/Q5494338,http://www.wikidata.org/entity/Q5531480,1863,Freckles,Gene Stratton-Porter,female,United States of America,1904,,
140,0,http://www.wikidata.org/entity/Q1197767,http://www.wikidata.org/entity/Q50020,1806,Utilitarianism,John Stuart Mill,male,United Kingdom of Great Britain and Ireland,1861,atheism,English
141,0,http://www.wikidata.org/entity/Q113026160,http://www.wikidata.org/entity/Q50020,1806,Utilitarianism,John Stuart Mill,male,United Kingdom of Great Britain and Ireland,2002,atheism,English
142,0,http://www.wikidata.org/entity/Q7750421,http://www.wikidata.org/entity/Q506757,1858,The Marrow of Tradition,Charles Chesnutt,male,United States of America,1901,,
143,0,http://www.wikidata.org/entity/Q368566,http://www.wikidata.org/entity/Q2517956,1865,The Purple Cloud,M. P. Shiel,male,United Kingdom,1901,,
145,0,http://www.wikidata.org/entity/Q124091147,http://www.wikidata.org/entity/Q965927,1852,Vain Fortune,George Moore,male,Republic of Ireland,1891,,
146,0,http://www.wikidata.org/entity/Q124088052,http://www.wikidata.org/entity/Q1382113,1809,The Fairy Godmothers and Other Tales,Margaret Gatty,female,United Kingdom of Great Britain and Ireland,1851,,English
147,0,http://www.wikidata.org/entity/Q21465365,http://www.wikidata.org/entity/Q713284,1886,Pallieter,Felix Timmermans,male,Belgium,1916,,Dutch
148,0,http://www.wikidata.org/entity/Q1195233,http://www.wikidata.org/entity/Q692,1564,A Lover's Complaint,William Shakespeare,male,Kingdom of England,1609,,Early Modern English
149,0,http://www.wikidata.org/entity/Q7760264,http://www.wikidata.org/entity/Q42511,1866,The Research Magnificent,H. G. Wells,male,United Kingdom,1915,,English
150,0,http://www.wikidata.org/entity/Q472194,http://www.wikidata.org/entity/Q276028,1849,The Secret Garden,Frances Hodgson Burnett,female,United States of America,1911,Christian Science,English
156,0,http://www.wikidata.org/entity/Q5295444,http://www.wikidata.org/entity/Q35610,1859,The Refugees,Arthur Conan Doyle,male,United Kingdom,1893,spiritism,English
160,0,http://www.wikidata.org/entity/Q1329329,http://www.wikidata.org/entity/Q82925,1857,Typhoon,Joseph Conrad,male,United Kingdom,1902,atheism,
164,0,http://www.wikidata.org/entity/Q7775018,http://www.wikidata.org/entity/Q507991,1869,The Willows,Algernon Blackwood,male,United Kingdom,1907,,
166,0,http://www.wikidata.org/entity/Q7679363,http://www.wikidata.org/entity/Q458658,1878,Tales of Three Hemispheres,"Edward Plunkett, 18th Baron of Dunsany",male,Republic of Ireland,1919,,
171,0,http://www.wikidata.org/entity/Q3686748,http://www.wikidata.org/entity/Q170509,1843,In the Cage,Henry James,male,United States of America,1898,,English
173,0,http://www.wikidata.org/entity/Q7380383,http://www.wikidata.org/entity/Q457287,1863,Rupert of Hentzau,Anthony Hope,male,United Kingdom,1898,,English
175,0,http://www.wikidata.org/entity/Q20640524,http://www.wikidata.org/entity/Q34190,1707,The Journal of a Voyage to Lisbon,Henry Fielding,male,Kingdom of Great Britain,1755,,
176,0,http://www.wikidata.org/entity/Q109925257,http://www.wikidata.org/entity/Q771698,1867,The Blotting Book,Edward Frederic Benson,male,United Kingdom,1908,,
177,0,http://www.wikidata.org/entity/Q4749912,http://www.wikidata.org/entity/Q42511,1866,An Englishman Looks at the World,H. G. Wells,male,United Kingdom,1914,,English
178,0,http://www.wikidata.org/entity/Q30109470,http://www.wikidata.org/entity/Q183167,1874,All Things Considered,G. K. Chesterton,male,United Kingdom,1908,Catholicism,
180,0,http://www.wikidata.org/entity/Q2043958,http://www.wikidata.org/entity/Q148234,1875,The Chessmen of Mars,Edgar Rice Burroughs,male,United States of America,1922,,English
181,0,http://www.wikidata.org/entity/Q7773132,http://www.wikidata.org/entity/Q560015,1886,The Voyages of Doctor Dolittle,Hugh Lofting,male,United Kingdom,1922,Catholic Church,English
182,0,http://www.wikidata.org/entity/Q221765,http://www.wikidata.org/entity/Q33977,1828,Facing the Flag,Jules Verne,male,France,1896,Catholicism,French
183,0,http://www.wikidata.org/entity/Q617379,http://www.wikidata.org/entity/Q35064,1890,The Secret Adversary,Agatha Christie,female,United Kingdom,1922,,English
185,0,http://www.wikidata.org/entity/Q1107000,http://www.wikidata.org/entity/Q123469,1885,Babbitt,Sinclair Lewis,male,United States of America,1922,atheism,
186,0,http://www.wikidata.org/entity/Q98551727,http://www.wikidata.org/entity/Q6221558,1865,Master Skylark,John Bennett,male,United States of America,1897,,
188,0,http://www.wikidata.org/entity/Q7164626,http://www.wikidata.org/entity/Q893138,1869,Penrod and Sam,Booth Tarkington,male,United States of America,1916,,
189,0,http://www.wikidata.org/entity/Q3210330,http://www.wikidata.org/entity/Q9327,1850,La Maison Tellier,Guy de Maupassant,male,France,1881,,French
190,0,http://www.wikidata.org/entity/Q124088441,http://www.wikidata.org/entity/Q369790,1857,The House of Cobwebs and Other Stories,George Gissing,male,United Kingdom of Great Britain and Ireland,1906,,
191,0,http://www.wikidata.org/entity/Q4197654,http://www.wikidata.org/entity/Q45765,1876,The Game,Jack London,male,United States of America,1905,atheism,
192,0,http://www.wikidata.org/entity/Q3177443,http://www.wikidata.org/entity/Q45765,1876,Jerry of the Islands,Jack London,male,United States of America,1917,atheism,
193,0,http://www.wikidata.org/entity/Q1249439,http://www.wikidata.org/entity/Q984,1879,My Brilliant Career,Miles Franklin,female,Australia,1901,,
194,0,http://www.wikidata.org/entity/Q17991789,http://www.wikidata.org/entity/Q246953,1871,The Dawn of All,Robert Hugh Benson,male,United Kingdom of Great Britain and Ireland,1911,Catholic Church,
196,0,http://www.wikidata.org/entity/Q5448084,http://www.wikidata.org/entity/Q723374,1879,Figures of Earth,James Branch Cabell,male,United States of America,1921,,
197,0,http://www.wikidata.org/entity/Q3202732,http://www.wikidata.org/entity/Q45765,1876,Adventure,Jack London,male,United States of America,1911,atheism,
198,0,http://www.wikidata.org/entity/Q124084092,http://www.wikidata.org/entity/Q318399,1815,John Caldigate,Anthony Trollope,male,United Kingdom of Great Britain and Ireland,1879,,
199,0,http://www.wikidata.org/entity/Q124090099,http://www.wikidata.org/entity/Q1444002,1834,The Rudder Grangers Abroad and Other Stories,Frank R. Stockton,male,United States of America,1891,,
200,0,http://www.wikidata.org/entity/Q19026101,http://www.wikidata.org/entity/Q442130,1846,A Strange Disappearance,Anna Katharine Green,female,United States of America,1880,,
201,0,http://www.wikidata.org/entity/Q4080743,http://www.wikidata.org/entity/Q41502,1846,Without Dogma,Henryk Sienkiewicz,male,Poland,1891,Catholicism,Polish
203,0,http://www.wikidata.org/entity/Q1215802,http://www.wikidata.org/entity/Q42511,1866,The Food of the Gods and How It Came to Earth,H. G. Wells,male,United Kingdom,1904,,English
204,0,http://www.wikidata.org/entity/Q665715,http://www.wikidata.org/entity/Q115822,1743,The Swiss Family Robinson,Johann David Wyss,male,Switzerland,1812,Protestantism,
205,0,http://www.wikidata.org/entity/Q191838,http://www.wikidata.org/entity/Q38337,1802,The Count of Monte Cristo,Alexandre Dumas,male,France,1844,,French
206,0,http://www.wikidata.org/entity/Q880092,http://www.wikidata.org/entity/Q258741,1820,Black Beauty,Anna Sewell,female,United Kingdom,1877,,English
208,0,http://www.wikidata.org/entity/Q7919716,http://www.wikidata.org/entity/Q82006,1804,Venetia,Benjamin Disraeli,male,United Kingdom of Great Britain and Ireland,1837,Christianity,
211,0,http://www.wikidata.org/entity/Q823691,http://www.wikidata.org/entity/Q42511,1866,The Country of the Blind,H. G. Wells,male,United Kingdom,1904,,English
212,0,http://www.wikidata.org/entity/Q42186571,http://www.wikidata.org/entity/Q1131497,1863,The Three Sisters,May Sinclair,female,United Kingdom,1914,,
214,0,http://www.wikidata.org/entity/Q19053501,http://www.wikidata.org/entity/Q45765,1876,War of the Classes,Jack London,male,United States of America,1905,atheism,
215,0,http://www.wikidata.org/entity/Q3566302,http://www.wikidata.org/entity/Q36184,1847,The Lair of the White Worm,Bram Stoker,male,United Kingdom of Great Britain and Ireland,1911,,
216,0,http://www.wikidata.org/entity/Q513017,http://www.wikidata.org/entity/Q9711,1799,The Message,Honoré de Balzac,male,France,1832,Catholicism,French
217,0,http://www.wikidata.org/entity/Q124090899,http://www.wikidata.org/entity/Q81796,1860,Tommy and Grizel,J. M. Barrie,male,United Kingdom,1900,,English
219,0,http://www.wikidata.org/entity/Q15240001,http://www.wikidata.org/entity/Q170509,1843,The Jolly Corner,Henry James,male,United States of America,1908,,English
221,0,http://www.wikidata.org/entity/Q113867333,http://www.wikidata.org/entity/Q3889326,1855,The Castle Inn,Stanley J. Weyman,male,United Kingdom,1898,,
223,0,http://www.wikidata.org/entity/Q7727915,http://www.wikidata.org/entity/Q170509,1843,The Coxon Fund,Henry James,male,United States of America,1894,,English
225,0,http://www.wikidata.org/entity/Q1250822,http://www.wikidata.org/entity/Q43718,1809,Taras Bulba,Nikolai Gogol,male,Russian Empire,1835,Eastern Orthodoxy,Ukrainian
226,0,http://www.wikidata.org/entity/Q1004825,http://www.wikidata.org/entity/Q7245,1835,A Tramp Abroad,Mark Twain,male,United States of America,1880,atheism,
227,0,http://www.wikidata.org/entity/Q92640,http://www.wikidata.org/entity/Q38082,1832,Alice's Adventures in Wonderland,Lewis Carroll,male,England,1865,Anglicanism,British English
229,0,http://www.wikidata.org/entity/Q1213025,http://www.wikidata.org/entity/Q294181,1846,Les Chants de Maldoror,Comte de Lautréamont,male,Uruguay,1870,,Spanish
231,0,http://www.wikidata.org/entity/Q3321439,http://www.wikidata.org/entity/Q9327,1850,Monsieur Parent,Guy de Maupassant,male,France,1885,,French
232,0,http://www.wikidata.org/entity/Q3151490,http://www.wikidata.org/entity/Q82925,1857,Tales of Unrest,Joseph Conrad,male,United Kingdom,1898,atheism,
236,0,http://www.wikidata.org/entity/Q1529068,http://www.wikidata.org/entity/Q37030,1875,Gladius Dei,Thomas Mann,male,Nazi Germany,1902,Lutheranism,German
240,0,http://www.wikidata.org/entity/Q6957414,http://www.wikidata.org/entity/Q237196,1856,Nada the Lily,H. Rider Haggard,male,United Kingdom of Great Britain and Ireland,1892,,
241,0,http://www.wikidata.org/entity/Q3231743,http://www.wikidata.org/entity/Q45765,1876,South Sea Tales,Jack London,male,United States of America,1911,atheism,
242,0,http://www.wikidata.org/entity/Q124085316,http://www.wikidata.org/entity/Q433098,1823,More Bywords,Charlotte Mary Yonge,female,United Kingdom of Great Britain and Ireland,1890,Catholic Church,
243,0,http://www.wikidata.org/entity/Q185118,http://www.wikidata.org/entity/Q1512,1850,Treasure Island,Robert Louis Stevenson,male,United Kingdom,1883,Presbyterianism,English
245,0,http://www.wikidata.org/entity/Q6625462,http://www.wikidata.org/entity/Q214565,1866,The Tale of Mrs. Tiggy-Winkle,Beatrix Potter,female,London,1905,,English
